timestamp,camera,fps,gpu_util_percent,gpu_mem_used_GB,gpu_mem_total_GB,gpu_temp_C
2025-08-19T13:33:37,Cam0,0.15,,,,
2025-08-19T13:33:38,Cam0,0.47,,,,
2025-08-19T13:33:39,Cam0,0.74,,,,
2025-08-19T13:33:40,Cam0,0.93,,,,
2025-08-19T13:33:41,Cam0,1.07,,,,
2025-08-19T13:33:42,Cam0,1.14,,,,
2025-08-19T13:33:43,Cam0,1.28,,,,
2025-08-19T13:33:44,Cam0,1.41,,,,
2025-08-19T13:33:45,Cam0,1.51,,,,
2025-08-19T13:33:46,Cam0,1.59,,,,
2025-08-19T13:33:47,Cam0,1.65,,,,
2025-08-19T13:33:48,Cam0,1.69,,,,
2025-08-19T13:33:49,Cam0,1.71,,,,
